Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,076.49",-18.76,-0.89,"4,055,737,884.32"
Sensitive Index,367.20,-3.72,-1.00,"1,012,352,800.30"
Float Index,140.75,-1.39,-0.98,"4,000,545,997.30"
Sensitive Float Index,120.27,-1.29,-1.06,"1,006,174,469.20"
Banking SubIndex,"1,099.41",-12.94,-1.16,"205,839,536.60"
Development Bank Index,"4,057.83",-35.94,-0.87,"150,236,695.20"
Finance Index,"2,239.86",-23.68,-1.04,"473,073,092.40"
Hotels And Tourism,"5,382.50",-39.53,-0.72,"68,998,610.00"
HydroPower Index,"2,583.45",-22.89,-0.87,"1,458,771,711.60"
Investment,76.26,-0.63,-0.82,"306,595,164.90"
Life Insurance,"10,092.18",-100.58,-0.98,"142,085,933.10"
Manufacturing And Processing,"6,496.09",-34.57,-0.52,"178,735,971.70"
Microfinance Index,"4,595.28",-29.81,-0.64,"697,302,784.90"
Mutual Fund,18.79,-0.13,-0.72,"4,962,073.22"
Non Life Insurance,"10,588.98",-88.74,-0.83,"130,188,584.10"
Others Index,"1,597.51",-12.41,-0.77,"205,518,628.70"
Trading Index,"2,926.01",-18.59,-0.63,"19,564,033.40"
